,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,no_scaling,LinearSVC,10,10,0,20,0.15784332065083997,0.14311152773658825,0.8853888846968004,0.8526223897804894
1,no_scaling,LinearSVC,10,10,10,30,0.1804387935039559,0.1547927964604188,0.9119728843522393,0.8542227390489209
2,no_scaling,LinearSVC,10,10,100,120,0.36705259318197875,0.26464889351064896,0.9846609743894571,0.8554624290469598
3,no_scaling,LinearSVC,10,71,0,81,0.25485524794711106,0.2103424669072599,0.9601284643055193,0.8847264202058384
4,no_scaling,LinearSVC,10,71,10,91,0.25336799859468495,0.2193892328209296,0.9542065800390857,0.8976487423104843
5,no_scaling,LinearSVC,10,71,100,181,0.49568905312925615,0.32472818856899105,0.9924816572510866,0.8378413627800411
6,no_scaling,LinearSVC,10,383,0,392,0.801057459300849,0.31547348194747427,0.9984681005671213,0.7593338981422879
7,no_scaling,LinearSVC,10,383,10,402,0.6532524710161404,0.32386398681758916,0.996543174832352,0.7989605188352713
8,no_scaling,LinearSVC,10,383,100,492,1.0,0.2999561250361002,1.0,0.7067377064813417
9,no_scaling,LinearSVC,10,790,0,797,1.0,0.3064425500711903,1.0,0.723042381331162
10,no_scaling,LinearSVC,10,790,10,807,1.0,0.29778351464873914,1.0,0.7344110651246515
11,no_scaling,LinearSVC,10,790,100,897,1.0,0.2774114799317539,1.0,0.682588491534887
12,no_scaling,LinearSVC,100,10,0,110,0.40246908386850366,0.28503919364670255,0.9877247488788449,0.8579425500878678
13,no_scaling,LinearSVC,100,10,10,120,0.43849449577610194,0.3210184102158123,0.9899822810362918,0.8688348869668522
14,no_scaling,LinearSVC,100,10,100,210,0.9939638102674438,0.3897773400263291,0.9999697647699098,0.7813119094518179
15,no_scaling,LinearSVC,100,71,0,169,0.5998169137257905,0.3557270740013358,0.9956160086435096,0.8198097628440162
16,no_scaling,LinearSVC,100,71,10,179,0.5878857935222179,0.363929265392092,0.9953539718109564,0.8243006322151434
17,no_scaling,LinearSVC,100,71,100,269,1.0,0.40914780835223646,1.0,0.7775676867790162
