,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,RobustScaler,LinearSVC,10,9,0,19,0.15776803845745394,0.14770675818492668,0.8616130441443737,0.8370494018559732
1,RobustScaler,LinearSVC,10,9,10,29,0.19317742953389141,0.17917595379268922,0.906951402856528,0.8795330469532221
2,RobustScaler,LinearSVC,10,9,100,119,0.26451512399201044,0.2185667671290887,0.9550872165106631,0.8797573689463921
3,RobustScaler,LinearSVC,10,71,0,81,0.2403752794744529,0.18551534756777502,0.945458192381253,0.8492388523672401
4,RobustScaler,LinearSVC,10,71,10,91,0.26617519090514247,0.20575985154947038,0.9554299062186447,0.8588662566687691
5,RobustScaler,LinearSVC,10,71,100,181,0.3877932818985159,0.26193962245577557,0.9824404355096418,0.843932432185575
6,RobustScaler,LinearSVC,10,383,0,392,0.6920054552354692,0.3070235155133246,0.997168011268435,0.7783900855815434
7,RobustScaler,LinearSVC,10,383,10,402,0.6452666474021621,0.3098423089979349,0.9966036538242614,0.7941883044301079
8,RobustScaler,LinearSVC,10,383,100,492,0.8827811730301272,0.3184436449192645,0.9992138919399774,0.7597185140192169
9,RobustScaler,LinearSVC,10,794,0,803,1.0,0.37649314311957904,1.0,0.76124789563258
10,RobustScaler,LinearSVC,10,794,10,813,0.9939638102674438,0.3659138642118936,0.9999697647699098,0.7608640668210939
11,RobustScaler,LinearSVC,10,794,100,903,1.0,0.3645761635777718,1.0,0.7528540808688158
12,RobustScaler,LinearSVC,100,9,0,109,0.3834783735442003,0.2884518127805965,0.9861020998782305,0.8694944448885017
13,RobustScaler,LinearSVC,100,9,10,119,0.41252599034727105,0.30154459369664083,0.9882588418412848,0.8633799749053193
14,RobustScaler,LinearSVC,100,9,100,209,0.690981348942216,0.37643437779621713,0.9973393460671734,0.8286671808141808
15,RobustScaler,LinearSVC,100,71,0,167,0.5793981162753877,0.3161343313745285,0.9950515634444054,0.8064885029446217
16,RobustScaler,LinearSVC,100,71,10,177,0.5245449707806622,0.31944542664904163,0.993660794050637,0.8261703230278684
17,RobustScaler,LinearSVC,100,71,100,267,0.995939533547704,0.3278198532556877,0.9999798431799399,0.7556694059842813
18,RobustScaler,LinearSVC,100,383,0,470,1.0,0.3228998241301213,1.0,0.7318821804168886
19,RobustScaler,LinearSVC,100,383,10,480,0.9979512279719719,0.35170819627169325,0.9999899215899699,0.7442570140725312
20,RobustScaler,LinearSVC,100,383,100,570,1.0,0.3583245967742152,1.0,0.7485253189443798
21,RobustScaler,LinearSVC,100,794,0,870,1.0,0.4009429298089655,1.0,0.7495742947857602
22,RobustScaler,LinearSVC,100,794,10,880,1.0,0.40568486528311115,1.0,0.7739284431581334
23,RobustScaler,LinearSVC,100,794,100,970,1.0,0.42813602344799695,1.0,0.762012131961931
24,RobustScaler,LinearSVC,500,9,0,507,1.0,0.46935862931948663,1.0,0.7952841529192716
25,RobustScaler,LinearSVC,500,9,10,517,1.0,0.45319441008568556,1.0,0.7786980989064337
26,RobustScaler,LinearSVC,500,9,100,607,1.0,0.5004695925170376,1.0,0.7914995897905741
27,RobustScaler,LinearSVC,500,71,0,559,1.0,0.4493917997548243,1.0,0.7788811904621437
28,RobustScaler,LinearSVC,500,71,10,569,1.0,0.4511777291992091,1.0,0.7868298664762138
29,RobustScaler,LinearSVC,500,71,100,659,1.0,0.4832847711002402,1.0,0.778979431751548
30,RobustScaler,LinearSVC,500,383,0,831,1.0,0.44520002821368326,1.0,0.7704260998891524
31,RobustScaler,LinearSVC,500,383,10,841,1.0,0.4424497754532211,1.0,0.766238410108917
32,RobustScaler,LinearSVC,500,383,100,931,1.0,0.464448023484706,1.0,0.7708703491864601
33,RobustScaler,LinearSVC,500,794,0,1205,1.0,0.4698613170701223,1.0,0.7868685109120049
34,RobustScaler,LinearSVC,500,794,10,1215,1.0,0.45964417804270036,1.0,0.7703429212651075
35,RobustScaler,LinearSVC,500,794,100,1305,1.0,0.48618606124725733,1.0,0.7832275761465866
36,RobustScaler,LinearSVC,1000,9,0,1006,1.0,0.48099656288109843,1.0,0.7867651644977967
37,RobustScaler,LinearSVC,1000,9,10,1016,1.0,0.4822569671604517,1.0,0.7908108902436606
38,RobustScaler,LinearSVC,1000,9,100,1106,1.0,0.4687923202466546,1.0,0.7623320678005019
39,RobustScaler,LinearSVC,1000,71,0,1043,1.0,0.477991189276248,1.0,0.7788375042839423
40,RobustScaler,LinearSVC,1000,71,10,1053,1.0,0.4932485165998088,1.0,0.7830033156272037
41,RobustScaler,LinearSVC,1000,71,100,1143,1.0,0.4848752269382992,1.0,0.7787350205064923
42,RobustScaler,LinearSVC,1000,383,0,1270,1.0,0.5122297784277634,1.0,0.7994868980515134
43,RobustScaler,LinearSVC,1000,383,10,1280,1.0,0.4859919950171774,1.0,0.774567515580911
44,RobustScaler,LinearSVC,1000,383,100,1370,1.0,0.48288646464818513,1.0,0.7708275183316641
45,RobustScaler,LinearSVC,1000,794,0,1606,1.0,0.521815658241125,1.0,0.7953605255228394
46,RobustScaler,LinearSVC,1000,794,10,1616,1.0,0.47514280175773976,1.0,0.7742844745267702
47,RobustScaler,LinearSVC,1000,794,100,1706,1.0,0.45043322124651125,1.0,0.7540810650811615
48,RobustScaler,LinearSVC,2000,9,0,2004,1.0,0.48927346785851816,1.0,0.7828000782213896
49,RobustScaler,LinearSVC,2000,9,10,2014,1.0,0.5154119068444817,1.0,0.77119032890515
50,RobustScaler,LinearSVC,2000,9,100,2104,1.0,0.47197737560839365,1.0,0.7706662540194563
51,RobustScaler,LinearSVC,2000,71,0,2028,1.0,0.46757878030403943,1.0,0.7662350302576298
52,RobustScaler,LinearSVC,2000,71,10,2038,1.0,0.4830069692684258,1.0,0.7543825657164391
53,RobustScaler,LinearSVC,2000,71,100,2128,1.0,0.45303474143372396,1.0,0.7582477195589061
54,RobustScaler,LinearSVC,2000,383,0,2182,1.0,0.47930318821396445,1.0,0.7543011099281269
55,RobustScaler,LinearSVC,2000,383,10,2192,1.0,0.5050817762050835,1.0,0.7669018806209816
56,RobustScaler,LinearSVC,2000,383,100,2282,1.0,0.4743370924025512,1.0,0.7788786439942026
57,RobustScaler,LinearSVC,2000,794,0,2447,1.0,0.46409666486273055,1.0,0.7539777454825812
58,RobustScaler,LinearSVC,2000,794,10,2457,1.0,0.4738290497506945,1.0,0.7665802073199716
59,RobustScaler,LinearSVC,2000,794,100,2547,1.0,0.4592170740370763,1.0,0.76650042317392
60,RobustScaler,LinearSVC,4000,9,0,4004,1.0,0.42184669222908333,1.0,0.7535351507630436
61,RobustScaler,LinearSVC,4000,9,10,4014,1.0,0.44640658587593657,1.0,0.7620700571732834
62,RobustScaler,LinearSVC,4000,9,100,4104,1.0,0.4621380396321509,1.0,0.7584098001899693
63,RobustScaler,LinearSVC,4000,71,0,4015,1.0,0.4562962464886511,1.0,0.7662366970243218
64,RobustScaler,LinearSVC,4000,71,10,4025,1.0,0.47242134337625075,1.0,0.7624941776849776
65,RobustScaler,LinearSVC,4000,71,100,4115,1.0,0.4547586957321766,1.0,0.7623539145462793
66,RobustScaler,LinearSVC,4000,383,0,4069,1.0,0.42216640677097045,1.0,0.7455461440442154
67,RobustScaler,LinearSVC,4000,383,10,4079,1.0,0.44812700505239045,1.0,0.7462340175211359
68,RobustScaler,LinearSVC,4000,383,100,4169,1.0,0.45582837493138206,1.0,0.7664601265981431
69,RobustScaler,LinearSVC,4000,794,0,4167,1.0,0.46271301114154023,1.0,0.7543229396094135
70,RobustScaler,LinearSVC,4000,794,10,4177,1.0,0.4410574877389388,1.0,0.7418439359073542
71,RobustScaler,LinearSVC,4000,794,100,4267,1.0,0.4119662380879934,1.0,0.7333703443108913
72,RobustScaler,AdaBoost_10,10,9,0,19,0.1914569705798286,0.18321708407552753,0.9241696899183004,0.9071789014845474
73,RobustScaler,AdaBoost_10,10,9,10,29,0.202123584575044,0.19693614122739286,0.9205623520087446,0.9101074306294006
74,RobustScaler,AdaBoost_10,10,9,100,119,0.2814584928469633,0.24284897706317762,0.9585844010241246,0.8960854565627828
75,RobustScaler,AdaBoost_10,10,71,0,77,0.23264014895893878,0.19438286959181142,0.9485828412587393,0.8762279245965884
76,RobustScaler,AdaBoost_10,10,71,10,87,0.24190716658628195,0.20723180970302202,0.9475414263808801,0.8866542215015286
77,RobustScaler,AdaBoost_10,10,71,100,177,0.36079390794959965,0.2633650809620878,0.9784679585621285,0.8591260244392265
78,RobustScaler,AdaBoost_10,10,383,0,388,0.6368900872785558,0.29797901770573476,0.9964524630479893,0.7857348538081803
79,RobustScaler,AdaBoost_10,10,383,10,398,0.5804190232279615,0.29831477058405353,0.9952632417443166,0.8091004858295449
80,RobustScaler,AdaBoost_10,10,383,100,488,0.9129254472402898,0.30819652864995933,0.9994759312101675,0.7470958673271723
