,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,StandardScaler,LinearSVC,10,9,0,19,0.14718478444418856,0.1368556745730323,0.8532318552020898,0.8267577131613084
1,StandardScaler,LinearSVC,10,9,10,29,0.1630157888950006,0.1574831444567083,0.8755290132273843,0.8646432420717286
2,StandardScaler,LinearSVC,10,9,100,119,0.26648213629244333,0.19567206106517754,0.953718444059632,0.8383947615718661
3,StandardScaler,LinearSVC,10,72,0,82,0.251391435559517,0.19183982549014444,0.9539299527780676,0.8512737664004911
4,StandardScaler,LinearSVC,10,72,10,92,0.30121908239008616,0.22586294808328752,0.9673372818087054,0.8493558861023738
5,StandardScaler,LinearSVC,10,72,100,182,0.5468629541345906,0.32695942250826043,0.9942050458651267,0.8262693416315781
6,StandardScaler,LinearSVC,10,380,0,390,1.0,0.2728683216021883,1.0,0.7140867586383588
7,StandardScaler,LinearSVC,10,380,10,400,1.0,0.29678823282361994,1.0,0.7346765336122573
8,StandardScaler,LinearSVC,10,380,100,490,1.0,0.3367451598642723,1.0,0.7320215638543378
9,StandardScaler,LinearSVC,10,788,0,797,1.0,0.37199307511517726,1.0,0.7329899197285362
10,StandardScaler,LinearSVC,10,788,10,807,1.0,0.4125840545550982,1.0,0.7454453782269294
11,StandardScaler,LinearSVC,10,788,100,897,1.0,0.36379385922878327,1.0,0.7406353942116549
12,StandardScaler,LinearSVC,100,9,0,108,0.3633586934280058,0.2788646914200809,0.9805402261472881,0.8722079465271726
13,StandardScaler,LinearSVC,100,9,10,118,0.38048518644092927,0.29147941234396324,0.982031800361271,0.8812870687976414
14,StandardScaler,LinearSVC,100,9,100,208,0.814664203447938,0.34959834319400157,0.998689850573561,0.7837820185003919
15,StandardScaler,LinearSVC,100,72,0,169,0.6438035547647485,0.34069894138126083,0.9965734216412176,0.7921011298650648
16,StandardScaler,LinearSVC,100,72,10,179,0.6973829627096734,0.3402506382046739,0.997369609939498,0.7879537488495281
17,StandardScaler,LinearSVC,100,72,100,269,1.0,0.3818895088661957,1.0,0.764886222985448
18,StandardScaler,LinearSVC,100,380,0,469,1.0,0.3529000173628121,1.0,0.7564151876080638
