,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,0,RobustScaler,LinearSVC,10,10,0,15,0.19444352506317933,0.1660865779618361,0.8472295129113311,0.7970185728250244
1,0,RobustScaler,LinearSVC,10,10,10,25,0.27457067574167965,0.2572715643581857,0.87448914721642,0.8487061228116946
2,0,RobustScaler,LinearSVC,10,10,25,40,0.27969789720469174,0.2523771766377437,0.8893778443778444,0.8540642495334578
3,0,RobustScaler,LinearSVC,10,20,0,20,0.19700279863423212,0.16934695500966895,0.8670265088446907,0.8149420154625433
4,0,RobustScaler,LinearSVC,10,20,10,30,0.2759361640282726,0.25554786824446235,0.8917248408157499,0.861333200035546
5,0,RobustScaler,LinearSVC,10,20,25,45,0.2781834499308805,0.24319121238836114,0.8990299599390509,0.8510268372878343
6,0,RobustScaler,LinearSVC,10,50,0,35,0.20813110257394007,0.18764736182591776,0.8757211979939252,0.8378483515506976
7,0,RobustScaler,LinearSVC,10,50,10,45,0.289211093264511,0.26312061344930715,0.9054432940796577,0.8668530614058472
8,0,RobustScaler,LinearSVC,10,50,25,60,0.2955927020589767,0.27754829506458417,0.9138380558835104,0.8908508842086554
9,0,RobustScaler,LinearSVC,10,75,0,48,0.22941085288594676,0.19238170126025617,0.8821726253544435,0.8211819070470097
10,0,RobustScaler,LinearSVC,10,75,10,58,0.3291641546673915,0.28227393658833866,0.934307561125743,0.8752450457655736
11,0,RobustScaler,LinearSVC,10,75,25,73,0.3333394431911162,0.28876979575520617,0.938665576847395,0.8837954323291566
12,0,RobustScaler,LinearSVC,250,10,0,250,1.0,0.39108029430978725,1.0,0.7822642850795345
13,0,RobustScaler,LinearSVC,250,10,10,260,0.9743037312707508,0.38592853751965106,0.9997245179063361,0.7739722740602506
14,0,RobustScaler,LinearSVC,250,10,25,275,1.0,0.44529608148492067,1.0,0.8000670932195859
15,0,RobustScaler,LinearSVC,250,20,0,255,1.0,0.36632077421332654,1.0,0.7575639829378833
16,0,RobustScaler,LinearSVC,250,20,10,265,0.9834395225691899,0.38973939699094806,0.9998209366391184,0.7703014751621788
17,0,RobustScaler,LinearSVC,250,20,25,280,1.0,0.45348245245346086,1.0,0.7966237892117658
18,0,RobustScaler,LinearSVC,250,50,0,265,1.0,0.4022377763160053,1.0,0.7787174531236115
19,0,RobustScaler,LinearSVC,250,50,10,275,0.9958940346971707,0.4005393547711158,0.9999586776859504,0.7825535412778815
20,0,RobustScaler,LinearSVC,250,50,25,290,1.0,0.4580656101823618,1.0,0.8122673953612369
21,0,RobustScaler,LinearSVC,250,75,0,274,1.0,0.3786001026761973,1.0,0.7618854972007465
22,0,RobustScaler,LinearSVC,250,75,10,284,0.9842605487911649,0.39100488678294176,0.9998347107438016,0.7701361859059807
23,0,RobustScaler,LinearSVC,250,75,25,299,1.0,0.44065850424138797,1.0,0.7996434284190882
24,0,RobustScaler,LinearSVC,500,10,0,500,1.0,0.5260004350199339,1.0,0.8190791344530347
25,0,RobustScaler,LinearSVC,500,10,10,510,1.0,0.5145453192761834,1.0,0.8026086376966143
26,0,RobustScaler,LinearSVC,500,10,25,525,1.0,0.52610193874544,1.0,0.8107662401137474
27,0,RobustScaler,LinearSVC,500,20,0,504,1.0,0.4903980816880642,1.0,0.7857249177996979
28,0,RobustScaler,LinearSVC,500,20,10,514,1.0,0.521080183567696,1.0,0.810993735003999
29,0,RobustScaler,LinearSVC,500,20,25,529,1.0,0.5141929985904674,1.0,0.8105700702035012
30,0,RobustScaler,LinearSVC,500,50,0,514,1.0,0.4803096116005604,1.0,0.7815273704789834
31,0,RobustScaler,LinearSVC,500,50,10,524,1.0,0.5341167880937557,1.0,0.8031045054652093
32,0,RobustScaler,LinearSVC,500,50,25,539,1.0,0.5142306578033847,1.0,0.8148298231582689
33,0,RobustScaler,LinearSVC,500,75,0,522,1.0,0.49797943999248073,1.0,0.7861590242601972
34,0,RobustScaler,LinearSVC,500,75,10,532,1.0,0.49879448714380986,1.0,0.7942857460232826
35,0,RobustScaler,LinearSVC,500,75,25,547,1.0,0.5076287799596668,1.0,0.8103116946592019
36,0,RobustScaler,LinearSVC,1000,10,0,1000,1.0,0.49733096271476007,1.0,0.7899329067804142
37,0,RobustScaler,LinearSVC,1000,10,10,1010,1.0,0.5038961715907778,1.0,0.7781045054652093
38,0,RobustScaler,LinearSVC,1000,10,25,1025,1.0,0.5449659306702797,1.0,0.807084999555674
39,0,RobustScaler,LinearSVC,1000,20,0,1002,1.0,0.5052704159676382,1.0,0.7862312272282947
40,0,RobustScaler,LinearSVC,1000,20,10,1012,1.0,0.5109740854662628,1.0,0.7865309250866436
41,0,RobustScaler,LinearSVC,1000,20,25,1027,1.0,0.5396036972824794,1.0,0.7948846974140229
42,0,RobustScaler,LinearSVC,1000,50,0,1009,1.0,0.4875057027252102,1.0,0.7779083355549631
43,0,RobustScaler,LinearSVC,1000,50,10,1019,1.0,0.5281137160578759,1.0,0.7946367635297253
44,0,RobustScaler,LinearSVC,1000,50,25,1034,1.0,0.5214091072875773,1.0,0.7906871500933085
45,0,RobustScaler,LinearSVC,1000,75,0,1017,1.0,0.5012836514926184,1.0,0.786282991202346
46,0,RobustScaler,LinearSVC,1000,75,10,1027,1.0,0.541886764979719,1.0,0.8030940638052074
47,0,RobustScaler,LinearSVC,1000,75,25,1042,1.0,0.5300241957142539,1.0,0.7984932906780414
48,0,RobustScaler,LinearSVC,4000,10,0,4000,1.0,0.40510245853552557,1.0,0.7199782280280814
49,0,RobustScaler,LinearSVC,4000,10,10,4010,1.0,0.456340100324499,1.0,0.7451743979383276
50,0,RobustScaler,LinearSVC,4000,10,25,4025,1.0,0.42632694007115945,1.0,0.7284768506176131
51,0,RobustScaler,LinearSVC,4000,20,0,4001,1.0,0.4531955506589094,1.0,0.7490413667466453
52,0,RobustScaler,LinearSVC,4000,20,10,4011,1.0,0.4345069559179614,1.0,0.7365000444325958
53,0,RobustScaler,LinearSVC,4000,20,25,4026,1.0,0.44613999541329297,1.0,0.7367893006309428
54,0,RobustScaler,LinearSVC,4000,50,0,4004,1.0,0.45307216531884337,1.0,0.7488243135163957
55,0,RobustScaler,LinearSVC,4000,50,10,4014,1.0,0.43976701459869666,1.0,0.7248060517195415
56,0,RobustScaler,LinearSVC,4000,50,25,4029,1.0,0.4366074927847319,1.0,0.7408942059895139
57,0,RobustScaler,LinearSVC,4000,75,0,4007,1.0,0.4439745143445495,1.0,0.7486590242601974
58,0,RobustScaler,LinearSVC,4000,75,10,4017,1.0,0.4626504877109586,1.0,0.7413383097840576
