,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,0,StandardScaler,LinearSVC,10,10,0,15,0.21237294068878415,0.19824302892240342,0.8295187892915166,0.8089849373500401
1,0,StandardScaler,LinearSVC,10,10,10,25,0.22524992990773668,0.20431227872746957,0.8720774427592609,0.8413436416955478
2,0,StandardScaler,LinearSVC,10,10,25,40,0.28321903312897273,0.25973891692605533,0.9094218407854772,0.8757580200835333
3,0,StandardScaler,LinearSVC,10,50,0,35,0.2242525580571202,0.1905652015420823,0.8669808978899889,0.8108824313516396
4,0,StandardScaler,LinearSVC,10,50,10,45,0.2529111190805508,0.2298947948497683,0.8930105500560046,0.8588505287478896
5,0,StandardScaler,LinearSVC,10,50,25,60,0.2980978872149051,0.2691487500996812,0.9110945872309508,0.8718152936994579
6,0,StandardScaler,LinearSVC,10,100,0,60,0.2541290320589014,0.2200783415579321,0.89023655637292,0.8395978850084422
7,0,StandardScaler,LinearSVC,10,100,10,70,0.2968248444387484,0.2520958461024307,0.9187845740118468,0.8569703634586332
8,0,StandardScaler,LinearSVC,10,100,25,85,0.33084161514342125,0.26518569140261183,0.9335016498652862,0.8505447436239225
9,0,StandardScaler,LinearSVC,250,10,0,254,1.0,0.4424621096012081,1.0,0.7566204567670844
10,0,StandardScaler,LinearSVC,250,10,10,264,1.0,0.43499091210853164,1.0,0.7600224384608549
11,0,StandardScaler,LinearSVC,250,10,25,279,1.0,0.45681412792719406,1.0,0.7490826890606949
12,0,StandardScaler,LinearSVC,250,50,0,273,1.0,0.4424239226474075,1.0,0.7485659379720963
13,0,StandardScaler,LinearSVC,250,50,10,283,1.0,0.4446498866278503,1.0,0.7525259930685151
14,0,StandardScaler,LinearSVC,250,50,25,298,1.0,0.49464339247937156,1.0,0.7657284724073581
15,0,StandardScaler,LinearSVC,250,100,0,296,1.0,0.448656132179398,1.0,0.7368306229449924
16,0,StandardScaler,LinearSVC,250,100,10,306,1.0,0.45439051146793796,1.0,0.7602081667110991
17,0,StandardScaler,LinearSVC,250,100,25,321,1.0,0.5000041381996995,1.0,0.7771432062561094
18,0,StandardScaler,LinearSVC,500,10,0,503,1.0,0.5489235018269409,1.0,0.7828701235226162
19,0,StandardScaler,LinearSVC,500,10,10,513,1.0,0.5220526897779222,1.0,0.7782489114014041
20,0,StandardScaler,LinearSVC,500,10,25,528,1.0,0.5448776309548466,1.0,0.786737092330934
21,0,StandardScaler,LinearSVC,500,50,0,522,1.0,0.5422055527518295,1.0,0.774619434817382
22,0,StandardScaler,LinearSVC,500,50,10,532,1.0,0.6005800965726633,1.0,0.8081593797209632
23,0,StandardScaler,LinearSVC,500,50,25,547,1.0,0.5630672638736514,1.0,0.7951530702923664
24,0,StandardScaler,LinearSVC,500,100,0,541,1.0,0.5586728931283246,1.0,0.782901004176664
25,0,StandardScaler,LinearSVC,500,100,10,551,1.0,0.5808325575991922,1.0,0.803475961965698
26,0,StandardScaler,LinearSVC,500,100,25,566,1.0,0.5968472249156953,1.0,0.8079010041766641
27,0,StandardScaler,LinearSVC,1000,10,0,1003,1.0,0.5116636899742076,1.0,0.773916955478539
28,0,StandardScaler,LinearSVC,1000,10,10,1013,1.0,0.5512979303649481,1.0,0.790862436683551
29,0,StandardScaler,LinearSVC,1000,10,25,1028,1.0,0.556084332897315,1.0,0.7990304807606861
30,0,StandardScaler,LinearSVC,1000,50,0,1015,1.0,0.5317230387715736,1.0,0.7863651915044877
31,0,StandardScaler,LinearSVC,1000,50,10,1025,1.0,0.5522725104963704,1.0,0.7948120501199679
32,0,StandardScaler,LinearSVC,1000,50,25,1040,1.0,0.5506940330646376,1.0,0.8028148049409046
33,0,StandardScaler,LinearSVC,1000,100,0,1031,1.0,0.5583248700479858,1.0,0.7830354127788145
34,0,StandardScaler,LinearSVC,1000,100,10,1041,1.0,0.5550056189286157,1.0,0.8150255487425575
35,0,StandardScaler,LinearSVC,1000,100,25,1056,1.0,0.5317093442163894,1.0,0.7906353861192571
36,0,StandardScaler,LinearSVC,4000,10,0,4000,1.0,0.414287574858218,1.0,0.7788514173998045
37,0,StandardScaler,LinearSVC,4000,10,10,4010,1.0,0.41921612843796696,1.0,0.7829354394383721
38,0,StandardScaler,LinearSVC,4000,10,25,4025,1.0,0.40145175657883414,1.0,0.7781384964009597
39,0,StandardScaler,LinearSVC,4000,50,0,4003,1.0,0.40056611094259736,1.0,0.7664858260019549
40,0,StandardScaler,LinearSVC,4000,50,10,4013,1.0,0.4341162595469363,1.0,0.7757695725584289
41,0,StandardScaler,LinearSVC,4000,50,25,4028,1.0,0.3658878995115425,1.0,0.7455598507064782
42,0,StandardScaler,LinearSVC,4000,100,0,4009,1.0,0.40163011043228874,1.0,0.7702597085221718
43,0,StandardScaler,LinearSVC,4000,100,10,4019,1.0,0.3928316004486786,1.0,0.7624535679374389
44,0,StandardScaler,LinearSVC,4000,100,25,4034,1.0,0.41206343142567714,1.0,0.7665889096241003
45,0,StandardScaler,na,na,na,0,5408,1.0,0.35732117971578664,1.0,0.7722676175242158
46,10,StandardScaler,LinearSVC,10,10,0,15,0.21237294068878415,0.19824302892240342,0.8295187892915166,0.8089849373500401
47,10,StandardScaler,LinearSVC,10,10,10,25,0.22538450570761523,0.20432401052151414,0.8721325391779937,0.8413436416955479
48,10,StandardScaler,LinearSVC,10,10,25,40,0.2905188547116262,0.2663257251996052,0.9103194532739988,0.8777001688438639
49,10,StandardScaler,LinearSVC,10,50,0,35,0.22428142837392837,0.1905652015420823,0.866994671994672,0.8108824313516396
50,10,StandardScaler,LinearSVC,10,50,10,45,0.25339780014262014,0.2295886181011228,0.8932033875215692,0.8587265618057407
51,10,StandardScaler,LinearSVC,10,50,25,60,0.30214412076957603,0.2743230737498109,0.9120848343575616,0.8732615746911934
52,10,StandardScaler,LinearSVC,10,100,0,60,0.25421041308861436,0.2200944338909803,0.8902641045822863,0.8395978850084422
53,10,StandardScaler,LinearSVC,10,100,10,70,0.2966196546978714,0.25231480142224394,0.9187294775931141,0.8570530080867325
54,10,StandardScaler,LinearSVC,10,100,25,85,0.331431535173858,0.26507245794899925,0.9324586020040565,0.8505034213098729
55,10,StandardScaler,LinearSVC,250,10,0,254,1.0,0.4503497021589684,1.0,0.7566926597351817
56,10,StandardScaler,LinearSVC,250,10,10,264,1.0,0.4658060501240153,1.0,0.7690582511330311
57,10,StandardScaler,LinearSVC,250,10,25,279,1.0,0.5086086224960867,1.0,0.7819610326135253
58,10,StandardScaler,LinearSVC,250,50,0,273,1.0,0.4516789309181911,1.0,0.7606422731715987
59,10,StandardScaler,LinearSVC,250,50,10,283,1.0,0.467041688447242,1.0,0.7768852750377677
