,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,no_scaling,LinearSVC,10,0,10,10,50,0.8575641258937788,0.33240043842540873,0.9900239313889623,0.6419534277354574
1,no_scaling,LinearSVC,10,0,10,10,100,0.8582163661812362,0.3446958008563697,0.9960209530109402,0.6499974912073522
2,no_scaling,LinearSVC,10,0,10,10,500,0.8706943296397323,0.3559651338795103,0.9982231883027173,0.6462630461477835
3,no_scaling,LinearSVC,10,0,10,50,50,0.9894998841720938,0.26477475844194714,0.9896604938271606,0.5613943863714262
4,no_scaling,LinearSVC,10,0,10,50,100,1.0,0.29176226152285095,1.0,0.5656247094507186
5,no_scaling,LinearSVC,10,0,10,50,500,1.0,0.2994146180768652,1.0,0.5656247094507186
9,no_scaling,LinearSVC,100,0,100,10,50,0.9063844031974552,0.39519652683062373,0.9926237979186902,0.6553179016827192
10,no_scaling,LinearSVC,100,0,100,10,100,0.9193165589927844,0.4027632042348827,0.9989463194092316,0.6512975428874764
11,no_scaling,LinearSVC,100,0,100,10,500,0.9401102950684058,0.4376263308491188,0.9992562239586302,0.6598185200659881
12,no_scaling,LinearSVC,100,0,100,50,50,0.9915970975807434,0.3001781815315806,0.9917181069958847,0.55739635825941
13,no_scaling,LinearSVC,100,0,100,50,100,1.0,0.3303494503187431,1.0,0.5658313176090034
14,no_scaling,LinearSVC,100,0,100,50,500,1.0,0.3353843792767133,1.0,0.56989635825941
18,no_scaling,LinearSVC,750,0,750,10,50,0.9321947444437312,0.514897323468052,0.9930989592803717,0.6973219479022399
19,no_scaling,LinearSVC,750,0,750,10,100,0.9586643293285482,0.5224637051055866,0.9995454579591107,0.6935238259413349
20,no_scaling,LinearSVC,750,0,750,10,500,0.9632270327103618,0.5195495891773492,0.9995867888113223,0.6772066986899018
21,no_scaling,LinearSVC,750,0,750,50,50,0.9937205162341112,0.34098559545589896,0.993801440329218,0.5739200731804174
22,no_scaling,LinearSVC,750,0,750,50,100,1.0,0.32579015021067165,1.0,0.5697534065137507
23,no_scaling,LinearSVC,750,0,750,50,500,1.0,0.3348716579195181,1.0,0.5738787474510183
27,no_scaling,LinearSVC,1500,0,1500,10,50,0.9320928618334988,0.4793470863627596,0.9930783092227039,0.672668100458643
28,no_scaling,LinearSVC,1500,0,1500,10,100,0.9554891925142447,0.5116091048922033,0.9995041373525241,0.6771240472311035
29,no_scaling,LinearSVC,1500,0,1500,10,500,0.9628163807198931,0.4924175793301783,0.999586786249916,0.6646653729605027
30,no_scaling,LinearSVC,1500,0,1500,50,50,0.9937205162341112,0.32538687719644266,0.993801440329218,0.5737357957053589
31,no_scaling,LinearSVC,1500,0,1500,50,100,1.0,0.2682168365002617,1.0,0.5532486661502053
32,no_scaling,LinearSVC,1500,0,1500,50,500,1.0,0.3063981640861067,1.0,0.5655454141176849
