,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,StandardScaler,LinearSVC,10,0,10,10,50,0.5259814809782204,0.0862876606541823,0.9792223180859545,0.5733051186350306
1,StandardScaler,LinearSVC,10,0,10,10,100,0.5380886342741397,0.07437855453094677,0.9851024985115895,0.5612596640895762
2,StandardScaler,LinearSVC,10,0,10,10,500,0.5489426438717874,0.09305069200570078,0.9881818181818183,0.5741315649160224
3,StandardScaler,LinearSVC,10,0,10,50,50,0.9958112992020844,0.045426319846733405,0.9958638583638584,0.5041666666666667
4,StandardScaler,LinearSVC,10,0,10,50,100,1.0,0.045426319846733405,1.0,0.5041666666666667
5,StandardScaler,LinearSVC,10,0,10,50,500,1.0,0.0,1.0,0.5
9,StandardScaler,LinearSVC,100,0,100,10,50,0.9043267585628012,0.4263633705829808,0.9988705234159779,0.684213765218164
10,StandardScaler,LinearSVC,100,0,100,10,100,0.9269138100869303,0.4742331137600746,0.9991873278236916,0.6929498800319915
11,StandardScaler,LinearSVC,100,0,100,10,500,0.9371101354736064,0.46463418263526135,0.9993112947658402,0.6888245356793743
12,StandardScaler,LinearSVC,100,0,100,50,50,1.0,0.48325624839081105,1.0,0.6322271838620812
13,StandardScaler,LinearSVC,100,0,100,50,100,1.0,0.44159969825758394,1.0,0.615788012085666
14,StandardScaler,LinearSVC,100,0,100,50,500,1.0,0.4684545008842197,1.0,0.6280191948813649
18,StandardScaler,LinearSVC,750,0,750,10,50,0.9095804830769386,0.4944682730426341,0.9989531680440771,0.7052741491157914
19,StandardScaler,LinearSVC,750,0,750,10,100,0.9135378353705426,0.526061315780163,0.9990082644628099,0.7178050297698391
20,StandardScaler,LinearSVC,750,0,750,10,500,0.9445310741914469,0.5114032778025902,0.9993939393939394,0.7014793832755709
21,StandardScaler,LinearSVC,750,0,750,50,50,1.0,0.4341290692775605,1.0,0.6154778725673155
22,StandardScaler,LinearSVC,750,0,750,50,100,1.0,0.4261244622224316,1.0,0.6113112059006487
23,StandardScaler,LinearSVC,750,0,750,50,500,1.0,0.4166841921395319,1.0,0.6033293343997157
27,StandardScaler,LinearSVC,1500,0,1500,10,50,0.9003307765936261,0.5110574218241163,0.9988154269972452,0.7255494090464765
28,StandardScaler,LinearSVC,1500,0,1500,10,100,0.9305998902247375,0.5044600228831133,0.9992148760330578,0.7175157735714921
29,StandardScaler,LinearSVC,1500,0,1500,10,500,0.9536853155371418,0.5274842136982202,0.9995041322314049,0.7058631031724873
30,StandardScaler,LinearSVC,1500,0,1500,50,50,1.0,0.42551311787331025,1.0,0.5993797209632987
31,StandardScaler,LinearSVC,1500,0,1500,50,100,1.0,0.4018313410268948,1.0,0.5949960010663823
32,StandardScaler,LinearSVC,1500,0,1500,50,500,1.0,0.4113912938929868,1.0,0.5990282591308984
36,StandardScaler,LinearSVC,4000,0,4000,10,50,0.923437945828554,0.4745766110880283,0.9991322314049587,0.7051193015195947
37,StandardScaler,LinearSVC,4000,0,4000,10,100,0.9190619585701948,0.5172503547171505,0.9990495867768595,0.7135557184750734
38,StandardScaler,LinearSVC,4000,0,4000,10,500,0.9503479148563454,0.5236848467573647,0.9994628099173554,0.7055116413400871
39,StandardScaler,LinearSVC,4000,0,4000,50,50,1.0,0.3621087556099473,1.0,0.5827234959566338
40,StandardScaler,LinearSVC,4000,0,4000,50,100,1.0,0.3823506276211244,1.0,0.5910568292899671
