,seed,upsampler,downsampler,up_class_ratio,down_vs_up_ratio,final_class_ratio,train_mcc,val_mcc,train_bal_acc,val_bal_acc
0,1,RandomOverSampler,RandomUnderSampler,0.01,1,0.01,1.0,0.4863863875634751,1.0,0.7101735618436461
1,1,RandomOverSampler,RandomUnderSampler,0.01,1.25,0.0125,0.9298059860377412,0.48664229563944444,0.9996170271732513,0.7514828397900236
2,1,RandomOverSampler,RandomUnderSampler,0.01,1.5,0.015,0.8945114557923819,0.4551455931310067,0.9993902703115036,0.7588982842877385
3,1,RandomOverSampler,RandomUnderSampler,0.01,1.75,0.0175,0.8465368266225948,0.46885363740015606,0.999037532054637,0.7747975184675049
4,1,RandomOverSampler,RandomUnderSampler,0.01,2,0.02,0.8233425823962595,0.4368256480786806,0.9988460437367628,0.7624293039110951
5,1,RandomOverSampler,RandomUnderSampler,0.05,1,0.05,1.0,0.4823291452763094,1.0,0.7305782130037914
6,1,RandomOverSampler,RandomUnderSampler,0.05,1.25,0.0625,0.9311388426245241,0.46029778277464023,0.9996220674955761,0.7349828438523426
7,1,RandomOverSampler,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.8854220110023908,0.4850773573165844,0.9993247572943487,0.7678270070841154
8,1,RandomOverSampler,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.8427695007087225,0.43809782169815525,0.9990072962150883,0.7542572365133247
9,1,RandomOverSampler,RandomUnderSampler,0.05,2,0.1,0.8181910151090893,0.4172720695862299,0.9987956527023151,0.7580409036920873
10,1,RandomOverSampler,RandomUnderSampler,0.1,1,0.1,1.0,0.5066820981761451,1.0,0.734699131988072
11,1,RandomOverSampler,RandomUnderSampler,0.1,1.25,0.125,0.9299868023387526,0.4526663680572448,0.9996170281889848,0.7345688775512276
12,1,RandomOverSampler,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.8825102480486144,0.44378758341414315,0.9993046046387827,0.7511657655224658
13,1,RandomOverSampler,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.8414552736486245,0.44569596002670897,0.9989921782953142,0.7705354745247514
14,1,RandomOverSampler,RandomUnderSampler,0.1,2,0.2,0.8151445889494384,0.42353831596439423,0.998770456931158,0.7740718948792114
15,1,RandomOverSampler,RandomUnderSampler,0.2,1,0.2,1.0,0.47508664602167733,1.0,0.7302502641522862
16,1,RandomOverSampler,RandomUnderSampler,0.2,1.25,0.25,0.925377212509861,0.4670386491558112,0.9995867941269696,0.7471952216405252
17,1,RandomOverSampler,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.8771426524026994,0.42242549507130966,0.9992642922175179,0.7465905373481069
18,1,RandomOverSampler,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.8517022393935862,0.457236718957103,0.9990728046614438,0.7746161115548518
19,1,RandomOverSampler,RandomUnderSampler,0.2,2,0.4,0.8023136142360963,0.40389894371672386,0.9986495176358972,0.7537331526901366
20,1,RandomOverSampler,RandomUnderSampler,0.4,1,0.4,1.0,0.4874274241798407,1.0,0.730578192692197
21,1,RandomOverSampler,RandomUnderSampler,0.4,1.25,0.5,0.9338115378659765,0.4982487097684228,0.9996422234522753,0.7513766326154973
22,1,RandomOverSampler,RandomUnderSampler,0.4,1.5,0.6000000000000001,0.8854976498849318,0.42014816037056224,0.9993247598336819,0.7381913153552974
23,1,RandomOverSampler,RandomUnderSampler,0.4,1.75,0.7000000000000001,0.8526147145359978,0.4547727208961657,0.9990778444759016,0.7587114807063008
24,1,RandomOverSampler,RandomUnderSampler,0.4,2,0.8,0.8157426223796651,0.42363564260709496,0.9987754959838162,0.7623540919860117
25,1,SMOTE,RandomUnderSampler,0.01,1,0.01,0.998971962047904,0.48525545117078456,0.9999949609473419,0.7305177169507812
26,1,SMOTE,RandomUnderSampler,0.01,1.25,0.0125,0.9230970068270136,0.43886505578983714,0.9995716769689951,0.7386401710041265
27,1,SMOTE,RandomUnderSampler,0.01,1.5,0.015,0.8742435760531542,0.4389393897725856,0.9992491742977437,0.7585099125049631
28,1,SMOTE,RandomUnderSampler,0.01,1.75,0.0175,0.8249485995847134,0.43854408248467214,0.9988611619104703,0.7704145555404708
29,1,SMOTE,RandomUnderSampler,0.01,2,0.02,0.8053277760175199,0.43069818296777385,0.9986847930359704,0.7663742654616529
30,1,SMOTE,RandomUnderSampler,0.05,1,0.05,1.0,0.46701385727582245,1.0,0.7303363059758092
31,1,SMOTE,RandomUnderSampler,0.05,1.25,0.0625,0.9304224732696197,0.4520691767715096,0.9996220672416427,0.7307758586706256
32,1,SMOTE,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.8762905781892856,0.4707281926242152,0.9992592518951933,0.7714386068651077
33,1,SMOTE,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.8324342170824373,0.4416587437615429,0.9989216320659675,0.7667223106047404
34,1,SMOTE,RandomUnderSampler,0.05,2,0.1,0.8054908151084691,0.4336514654872472,0.9986847937977703,0.7747533139788211
35,1,SMOTE,RandomUnderSampler,0.1,1,0.1,1.0,0.4713932965596287,1.0,0.722371211572799
36,1,SMOTE,RandomUnderSampler,0.1,1.25,0.125,0.9259301177567607,0.4510641070431537,0.9995918331796275,0.7428673134122089
37,1,SMOTE,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.874234350239593,0.4279643332056583,0.999244134737219,0.7586819961520089
38,1,SMOTE,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.8375333459854092,0.4569416567806438,0.9989619444872323,0.775136289092812
39,1,SMOTE,RandomUnderSampler,0.1,2,0.2,0.8178741636616282,0.4272681160601353,0.9987906116181906,0.7661471149289326
40,1,SMOTE,RandomUnderSampler,0.2,1,0.2,1.0,0.4635225337669204,1.0,0.7221642385780388
41,1,SMOTE,RandomUnderSampler,0.2,1.25,0.25,0.9208737079785632,0.43787856724440444,0.9995615981018788,0.7386401831910832
42,1,SMOTE,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.8772969004021973,0.42164122174822627,0.9992693310162426,0.7465703801217412
43,1,SMOTE,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.8318689769643794,0.42440577930191986,0.9989165927593759,0.7662936243692335
44,1,SMOTE,RandomUnderSampler,0.2,2,0.4,0.8163577815853701,0.4335734888474505,0.9987754947141496,0.7704804401376283
45,1,SMOTE,RandomUnderSampler,0.4,1,0.4,1.0,0.4586662780942531,1.0,0.7220634483838918
46,1,SMOTE,RandomUnderSampler,0.4,1.25,0.5,0.9298052438896203,0.4560236022038966,0.999617028442918,0.7386750725387974
47,1,SMOTE,RandomUnderSampler,0.4,1.5,0.6000000000000001,0.877527624459961,0.45252141042640853,0.9992743690531676,0.7592114807063008
48,1,SMOTE,RandomUnderSampler,0.4,1.75,0.7000000000000001,0.8349540203097213,0.45892558950775497,0.9989417892923331,0.7831618592372379
49,1,SMOTE,RandomUnderSampler,0.4,2,0.8,0.797360995708351,0.4135990306801368,0.9986092067382323,0.7660920683548527
51,1,ADASYN,RandomUnderSampler,0.01,1.25,0.0125,0.932780660300865,0.48038210452212915,0.999632144585159,0.7596347743353415
52,1,ADASYN,RandomUnderSampler,0.01,1.5,0.015,0.8700646686484663,0.473539925726797,0.9992189379503286,0.7748781595599241
53,1,ADASYN,RandomUnderSampler,0.01,1.75,0.0175,0.8336077319066331,0.4367999453015797,0.9989266708646923,0.7664951763212956
54,1,ADASYN,RandomUnderSampler,0.01,2,0.02,0.8101347216867154,0.39956027967725005,0.9987099842363278,0.7534455589145517
56,1,ADASYN,RandomUnderSampler,0.05,1.25,0.0625,0.928179141526941,0.44646351998492095,0.9996069493218684,0.7385541373052412
57,1,ADASYN,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.8715064740908055,0.4348535435647105,0.9992189394739285,0.7545905414104257
58,1,ADASYN,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.8312533294927716,0.47591569638621545,0.99890651313046,0.7994145758520652
59,1,ADASYN,RandomUnderSampler,0.05,2,0.1,0.8076747528203851,0.44111032730044075,0.9986999094321446,0.7784602910359002
61,1,ADASYN,RandomUnderSampler,0.1,1.25,0.125,0.9189927874984839,0.4546863777907834,0.9995515199965628,0.7466603444797677
62,1,ADASYN,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.8798026795961074,0.452576482319769,0.9992894859572085,0.7628176797561894
63,1,ADASYN,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.8357550279222405,0.42176796053770893,0.9989468258056581,0.762167280279936
64,1,ADASYN,RandomUnderSampler,0.1,2,0.2,0.7998249141048532,0.4438131356424016,0.9986293637106645,0.774581201895543
66,1,ADASYN,RandomUnderSampler,0.2,1.25,0.25,0.9324700258403749,0.4896489088604163,0.9996321448390922,0.7514828316653859
67,1,ADASYN,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.8869843027341562,0.4453850665857666,0.999339877753456,0.7469130610945951
68,1,ADASYN,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.8450359508200425,0.45016179654714916,0.9990224141348627,0.7789347208914743
69,1,ADASYN,RandomUnderSampler,0.2,2,0.4,0.8162726655493318,0.4241919325879414,0.9987805340207409,0.7622075866080295
70,1,ADASYN,RandomUnderSampler,0.4,1,0.4,0.998971962047904,0.5006049332278348,0.9999949609473419,0.7349719895799895
71,1,ADASYN,RandomUnderSampler,0.4,1.25,0.5,0.9235888038384958,0.44864382143572606,0.9995767147519867,0.7426805017061333
72,1,ADASYN,RandomUnderSampler,0.4,1.5,0.6000000000000001,0.8843863906122623,0.4623403845298178,0.9993146824901654,0.7593324078152193
73,1,ADASYN,RandomUnderSampler,0.4,1.75,0.7000000000000001,0.8431420149339415,0.4628504029465896,0.99901233628348,0.7835758174137148
