,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.004813864,0.0
1,1,0,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.01,0.0,0.0,0.015503899,0.0
2,2,0,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.001,0.64285713,0.3,0.34240776,0.45960802
3,3,0,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.045477886,0.0
4,4,0,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.01,0.5714286,0.13333334,0.2876438,0.2829749
5,5,0,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.001,0.6923077,0.3,0.42907888,0.4635796
6,6,0,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.03224831,0.0
7,7,0,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.01,0.0,0.0,0.01616923,0.0
8,8,0,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.001,0.52380955,0.36666667,0.34904253,0.4565847
9,9,0,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.004813864,0.0
10,10,0,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.01,0.5,0.033333335,0.10410585,0.10124739
11,11,0,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.001,0.6666667,0.33333334,0.4001095,0.47936344
12,12,0,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.004813864,0.0
13,13,0,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.01,0.0,0.0,0.012252123,0.0
14,14,0,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.001,0.5714286,0.26666668,0.32281756,0.39438322
15,15,0,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.004813864,0.0
16,16,0,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.01,0.0,0.0,0.103088126,0.0
17,17,0,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.001,0.5625,0.3,0.35495678,0.42793187
18,18,0,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.04969725,0.0
19,19,0,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.01,0.0,0.0,0.053321905,0.0
20,20,0,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.001,0.6666667,0.33333334,0.39377987,0.47940004
21,21,0,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.004813864,0.0
22,22,0,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.01,0.0,0.0,0.014209757,0.0
23,23,0,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.001,0.71428573,0.33333334,0.33275294,0.49706566
24,24,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.03533889,0.0
25,25,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.01,0.0,0.0,0.056256432,0.0
26,26,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6363636,0.23333333,0.3138364,0.3921031
27,27,0,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.004813864,0.0
28,28,0,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.01,0.7777778,0.23333333,0.4253412,0.40584224
29,29,0,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.001,0.8125,0.43333334,0.49652064,0.602712
30,30,0,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.017239558,0.0
31,31,0,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.01,0.75,0.2,0.4216468,0.3453218
32,32,0,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.001,0.6875,0.36666667,0.43026298,0.50675917
33,33,0,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.018728457,0.0
34,34,0,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.01,0.8,0.26666668,0.46570644,0.4676614
35,35,0,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.001,0.65,0.43333334,0.43989667,0.54824126
36,36,0,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.02053489,0.0
37,37,0,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.01,0.75,0.3,0.4173891,0.47470254
38,38,0,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.001,0.73333335,0.36666667,0.46455392,0.52734745
39,39,0,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.004813864,0.0
40,40,0,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.01,0.7692308,0.33333334,0.43070108,0.51183355
41,41,0,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.001,0.7222222,0.43333334,0.4972833,0.5709298
42,42,0,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.004813864,0.0
43,43,0,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.01,0.64705884,0.36666667,0.4364478,0.5008316
44,44,0,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.001,0.7692308,0.33333334,0.40863746,0.51183355
45,45,0,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.03918155,0.0
46,46,0,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.01,0.73333335,0.36666667,0.42706645,0.5341617
47,47,0,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.001,0.6875,0.36666667,0.508541,0.5128495
48,48,0,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.025435243,0.0
49,49,0,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.01,0.8333333,0.33333334,0.38655365,0.5338775
50,50,0,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.001,0.68421054,0.43333334,0.4460835,0.5587373
51,51,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.00650477,0.0
52,52,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.01,0.75,0.4,0.44638476,0.5546489
53,53,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.71428573,0.5,0.47337973,0.61235523
54,54,1,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.004813864,0.0
55,55,1,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.01,0.0,0.0,0.008123368,0.0
56,56,1,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.001,0.6111111,0.36666667,0.42355227,0.4840706
57,57,1,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.083251856,0.0
58,58,1,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.01,0.6666667,0.06666667,0.19879924,0.2267685
59,59,1,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.001,0.6,0.4,0.42368004,0.49989104
60,60,1,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.10525805,0.0
61,61,1,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.01,1.0,0.033333335,0.37702137,0.14396526
62,62,1,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.001,0.6666667,0.33333334,0.43456942,0.4826675
