,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,StandardScaler,None,128,0.5,na,na,4096,75,20,0.01,0.71428573,0.33333334,0.32885367,0.51772743
1,1,0,StandardScaler,None,128,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.5195613,0.5587373
2,2,0,StandardScaler,None,128,0.5,na,na,4096,75,40,0.01,0.71428573,0.33333334,0.38883495,0.4840318
3,3,0,StandardScaler,None,128,0.5,na,na,4096,75,40,0.001,0.68421054,0.43333334,0.44412354,0.5532164
4,4,0,StandardScaler,None,256,0.5,na,na,4096,75,20,0.01,0.5882353,0.33333334,0.26157635,0.4604842
5,5,0,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.4536854,0.5425418
6,6,0,StandardScaler,None,256,0.5,na,na,4096,75,40,0.01,0.64285713,0.3,0.33002743,0.44223243
7,7,0,StandardScaler,None,256,0.5,na,na,4096,75,40,0.001,0.7222222,0.43333334,0.44806194,0.5654483
8,8,0,StandardScaler,3,128,0.5,na,na,4096,75,20,0.01,0.7,0.23333333,0.3655653,0.43162253
9,9,0,StandardScaler,3,128,0.5,na,na,4096,75,20,0.001,0.7222222,0.43333334,0.4743166,0.5654483
10,10,0,StandardScaler,3,128,0.5,na,na,4096,75,40,0.01,0.5555556,0.33333334,0.35031265,0.4484109
11,11,0,StandardScaler,3,128,0.5,na,na,4096,75,40,0.001,0.7222222,0.43333334,0.47867733,0.5654483
12,12,0,StandardScaler,3,256,0.5,na,na,4096,75,20,0.01,0.625,0.33333334,0.3841162,0.4792149
13,13,0,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.51298237,0.54824126
14,14,0,StandardScaler,3,256,0.5,na,na,4096,75,40,0.01,0.64285713,0.3,0.3016772,0.44223243
15,15,0,StandardScaler,3,256,0.5,na,na,4096,75,40,0.001,0.7222222,0.43333334,0.45069018,0.5654483
16,16,0,RobustScaler,None,128,0.5,na,na,4096,75,20,0.01,0.75,0.1,0.32756197,0.27949867
17,17,0,RobustScaler,None,128,0.5,na,na,4096,75,20,0.001,0.53333336,0.26666668,0.3640679,0.38276586
18,18,0,RobustScaler,None,128,0.5,na,na,4096,75,40,0.01,0.625,0.33333334,0.35269248,0.4792149
19,19,0,RobustScaler,None,128,0.5,na,na,4096,75,40,0.001,0.6666667,0.33333334,0.36934948,0.47936344
20,20,0,RobustScaler,None,256,0.5,na,na,4096,75,20,0.01,0.5294118,0.3,0.28774565,0.43479514
21,21,0,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.64705884,0.36666667,0.38301706,0.49518389
22,22,0,RobustScaler,None,256,0.5,na,na,4096,75,40,0.01,0.61538464,0.26666668,0.28473777,0.41205046
23,23,0,RobustScaler,None,256,0.5,na,na,4096,75,40,0.001,0.5882353,0.33333334,0.33759946,0.44956052
24,24,0,RobustScaler,3,128,0.5,na,na,4096,75,20,0.01,0.4,0.06666667,0.17221743,0.104544856
25,25,0,RobustScaler,3,128,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.52250636,0.51755667
26,26,0,RobustScaler,3,128,0.5,na,na,4096,75,40,0.01,0.6666667,0.33333334,0.4693749,0.46962816
27,27,0,RobustScaler,3,128,0.5,na,na,4096,75,40,0.001,0.6315789,0.4,0.4953635,0.51755667
28,28,0,RobustScaler,3,256,0.5,na,na,4096,75,20,0.01,0.65,0.43333334,0.5481421,0.5254165
29,29,0,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.48651612,0.5587373
30,30,0,RobustScaler,3,256,0.5,na,na,4096,75,40,0.01,0.75,0.4,0.4343513,0.56155735
31,31,0,RobustScaler,3,256,0.5,na,na,4096,75,40,0.001,0.7368421,0.46666667,0.46910948,0.5961329
32,32,1,StandardScaler,None,128,0.5,na,na,4096,75,20,0.01,0.6875,0.36666667,0.5029474,0.5221437
33,33,1,StandardScaler,None,128,0.5,na,na,4096,75,20,0.001,0.6086956,0.46666667,0.4511168,0.54637814
34,34,1,StandardScaler,None,128,0.5,na,na,4096,75,40,0.01,0.6666667,0.33333334,0.4546135,0.49236232
35,35,1,StandardScaler,None,128,0.5,na,na,4096,75,40,0.001,0.6315789,0.4,0.4760103,0.51038706
36,36,1,StandardScaler,None,256,0.5,na,na,4096,75,20,0.01,0.7692308,0.33333334,0.5078652,0.51837784
37,37,1,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.4,0.43641204,0.48848742
38,38,1,StandardScaler,None,256,0.5,na,na,4096,75,40,0.01,0.6,0.4,0.4334503,0.49989104
39,39,1,StandardScaler,None,256,0.5,na,na,4096,75,40,0.001,0.6666667,0.46666667,0.4501238,0.5700664
40,40,1,StandardScaler,3,128,0.5,na,na,4096,75,20,0.01,0.5,0.06666667,0.45663464,0.18405062
41,41,1,StandardScaler,3,128,0.5,na,na,4096,75,20,0.001,0.625,0.33333334,0.53311884,0.46500188
42,42,1,StandardScaler,3,128,0.5,na,na,4096,75,40,0.01,0.64705884,0.36666667,0.5125607,0.49518389
43,43,1,StandardScaler,3,128,0.5,na,na,4096,75,40,0.001,0.59090906,0.43333334,0.46213537,0.5158154
44,44,1,StandardScaler,3,256,0.5,na,na,4096,75,20,0.01,0.6666667,0.4,0.51392984,0.5280527
45,45,1,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.5181215,0.54824126
46,46,1,StandardScaler,3,256,0.5,na,na,4096,75,40,0.01,0.6363636,0.46666667,0.47472036,0.5595704
47,47,1,StandardScaler,3,256,0.5,na,na,4096,75,40,0.001,0.6111111,0.36666667,0.517812,0.4843092
48,48,1,RobustScaler,None,128,0.5,na,na,4096,75,20,0.01,0.4117647,0.23333333,0.33993837,0.33131957
49,49,1,RobustScaler,None,128,0.5,na,na,4096,75,20,0.001,0.5625,0.3,0.44039738,0.42793187
50,50,1,RobustScaler,None,128,0.5,na,na,4096,75,40,0.01,0.52380955,0.36666667,0.40719998,0.44238022
51,51,1,RobustScaler,None,128,0.5,na,na,4096,75,40,0.001,0.6,0.4,0.3698908,0.49127072
52,52,1,RobustScaler,None,256,0.5,na,na,4096,75,20,0.01,0.47826087,0.36666667,0.3173124,0.4191448
53,53,1,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5555556,0.33333334,0.36304417,0.4532614
54,54,1,RobustScaler,None,256,0.5,na,na,4096,75,40,0.01,0.47368422,0.3,0.33956334,0.37629098
