,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,StandardScaler,3,256,0.4,na,na,4096,75,20,0.001,0.6315789,0.4,0.52609026,0.5213416
1,1,0,StandardScaler,3,256,0.4,na,na,4096,75,30,0.001,0.6111111,0.36666667,0.48402983,0.4840706
2,2,0,StandardScaler,3,256,0.4,na,na,4096,100,20,0.001,0.65,0.43333334,0.49621862,0.5425418
3,3,0,StandardScaler,3,256,0.4,na,na,4096,100,30,0.001,0.8125,0.43333334,0.45683417,0.59644824
4,4,0,StandardScaler,3,512,0.4,na,na,4096,75,20,0.001,0.6111111,0.36666667,0.4562251,0.4840706
5,5,0,StandardScaler,3,512,0.4,na,na,4096,75,30,0.001,0.7058824,0.4,0.4773902,0.54024523
6,6,0,StandardScaler,3,512,0.4,na,na,4096,100,20,0.001,0.65,0.43333334,0.48816973,0.5425418
7,7,0,StandardScaler,3,512,0.4,na,na,4096,100,30,0.001,0.6666667,0.4,0.47454983,0.5197303
8,8,0,StandardScaler,5,256,0.4,na,na,4096,75,20,0.001,0.7222222,0.43333334,0.5183905,0.5654483
9,9,0,StandardScaler,5,256,0.4,na,na,4096,75,30,0.001,0.5882353,0.33333334,0.46326154,0.45717096
10,10,0,StandardScaler,5,256,0.4,na,na,4096,100,20,0.001,0.6111111,0.36666667,0.52179974,0.4840706
11,11,0,StandardScaler,5,256,0.4,na,na,4096,100,30,0.001,0.7058824,0.4,0.4972316,0.54024523
12,12,0,StandardScaler,5,512,0.4,na,na,4096,75,20,0.001,0.6,0.4,0.45727724,0.49963307
13,13,0,StandardScaler,5,512,0.4,na,na,4096,75,30,0.001,0.6111111,0.36666667,0.46404502,0.49065703
14,14,0,StandardScaler,5,512,0.4,na,na,4096,100,20,0.001,0.7222222,0.43333334,0.46065181,0.5654483
15,15,0,StandardScaler,5,512,0.4,na,na,4096,100,30,0.001,0.68421054,0.43333334,0.47409168,0.5532164
16,16,1,StandardScaler,3,256,0.4,na,na,4096,75,20,0.001,0.5882353,0.33333334,0.52079636,0.45338452
17,17,1,StandardScaler,3,256,0.4,na,na,4096,75,30,0.001,0.5882353,0.33333334,0.5388135,0.45124662
18,18,1,StandardScaler,3,256,0.4,na,na,4096,100,20,0.001,0.5263158,0.33333334,0.47038028,0.43559578
19,19,1,StandardScaler,3,256,0.4,na,na,4096,100,30,0.001,0.5714286,0.26666668,0.50509626,0.39220145
