,i,fold,n_remove,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.75,0.3,0.41331446,0.4820872
1,1,0,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.75,0.4,0.4311893,0.55436176
2,2,0,75,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6923077,0.3,0.29028708,0.4635796
3,3,0,75,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.7058824,0.4,0.43995148,0.54024523
4,4,0,100,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5625,0.3,0.3330052,0.42793187
5,5,0,100,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.7,0.46666667,0.42837095,0.5871915
6,6,0,125,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.33333334,0.3422866,0.4826675
7,7,0,125,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.71428573,0.33333334,0.38118488,0.49386138
8,8,0,250,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5882353,0.33333334,0.35598195,0.45717096
9,9,0,250,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.68421054,0.43333334,0.4545394,0.5587373
10,10,1,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5625,0.3,0.37606737,0.41977906
11,11,1,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5833333,0.46666667,0.44815874,0.53546554
12,12,1,75,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5555556,0.33333334,0.36167336,0.43842936
13,13,1,75,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6,0.4,0.47554842,0.49801692
14,14,1,100,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5925926,0.53333336,0.36417234,0.57479465
15,15,1,100,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.61904764,0.43333334,0.5092355,0.52790105
16,16,1,125,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.61538464,0.26666668,0.38811123,0.40878138
17,17,1,125,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.52,0.43333334,0.41500676,0.4763845
18,18,1,250,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5555556,0.33333334,0.3731529,0.43938595
19,19,1,250,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.59090906,0.43333334,0.47676545,0.5158154
20,20,2,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5,0.16129032,0.23423709,0.32420385
21,21,2,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.46666667,0.22580644,0.33061618,0.352773
22,22,2,75,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5,0.22580644,0.26915598,0.3865522
23,23,2,75,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5294118,0.29032257,0.339975,0.40540084
24,24,2,100,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5625,0.29032257,0.2834447,0.45247832
25,25,2,100,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.53333336,0.2580645,0.3034095,0.42521322
26,26,2,125,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.4375,0.22580644,0.27498937,0.3860001
27,27,2,125,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.52380955,0.3548387,0.32330388,0.47025603
28,28,2,250,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5,0.16129032,0.2557072,0.29491335
29,29,2,250,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.45,0.29032257,0.3135531,0.4040454
30,30,3,0,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.625,0.33333334,0.34653935,0.47545713
31,31,3,0,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5882353,0.33333334,0.38128716,0.46653557
32,32,3,75,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.4,0.44607162,0.52253723
33,33,3,75,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6363636,0.23333333,0.4458967,0.42187417
34,34,3,100,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.52380955,0.36666667,0.2695204,0.46841377
35,35,3,100,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.73333335,0.36666667,0.4919536,0.55335236
36,36,3,125,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.26666668,0.39551216,0.46226376
37,37,3,125,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.75,0.4,0.5650026,0.5650783
38,38,3,250,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5833333,0.23333333,0.3595984,0.41249284
39,39,3,250,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6923077,0.3,0.4506874,0.49124956
