,i,fold,n_remove,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,10,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.7058824,0.4,0.3789949,0.54024523
1,1,0,10,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6,0.4,0.44765007,0.508396
2,2,0,25,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.65,0.43333334,0.37001827,0.5425418
3,3,0,25,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.73333335,0.36666667,0.40381807,0.52734745
4,4,0,50,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6315789,0.4,0.4062125,0.51755667
5,5,0,50,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.4,0.39396197,0.5280527
6,6,0,75,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.7058824,0.4,0.3924284,0.54024523
7,7,0,75,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.7058824,0.4,0.38517463,0.54024523
8,8,0,100,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.7058824,0.4,0.40629613,0.54024523
9,9,0,100,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6315789,0.4,0.36945352,0.51755667
10,10,0,125,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6315789,0.4,0.4068243,0.51038706
11,11,0,125,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.64705884,0.36666667,0.44758415,0.5008316
12,12,1,10,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5714286,0.53333336,0.4205463,0.551888
13,13,1,10,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.61904764,0.43333334,0.44514608,0.5308157
14,14,1,25,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.56,0.46666667,0.44138014,0.52737844
15,15,1,25,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.57894737,0.36666667,0.4735569,0.47467697
16,16,1,50,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.33333334,0.44745195,0.49236232
17,17,1,50,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5555556,0.33333334,0.5000136,0.44375232
18,18,1,75,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.64705884,0.36666667,0.521254,0.50173473
19,19,1,75,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.4,0.5437453,0.5246812
20,20,1,100,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.61538464,0.53333336,0.4433586,0.576536
21,21,1,100,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.56,0.46666667,0.55460685,0.52737844
22,22,1,125,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5,0.4,0.45150173,0.46717405
23,23,1,125,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.55,0.36666667,0.3955518,0.45967665
24,24,2,10,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6111111,0.3548387,0.3607908,0.5119261
25,25,2,10,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5714286,0.2580645,0.3038149,0.42126507
26,26,2,25,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.47368422,0.29032257,0.3007553,0.43476808
27,27,2,25,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5,0.19354838,0.3822169,0.3629716
28,28,2,50,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.32258064,0.3693082,0.49463898
29,29,2,50,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5,0.3548387,0.36728814,0.4759823
30,30,2,75,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.61538464,0.2580645,0.3272648,0.4297969
31,31,2,75,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.72727275,0.2580645,0.39088818,0.4322463
32,32,2,100,StandardScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.72727275,0.2580645,0.35355377,0.4606951
33,33,2,100,StandardScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6875,0.3548387,0.36627477,0.528724
