,i,fold,n_remove,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,0,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.46061522,0.54824126
1,1,0,0,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.4,0.46685743,0.5280527
2,2,0,0,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5882353,0.33333334,0.48808107,0.45717096
3,3,0,0,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.4,0.2926896,0.495156
4,4,0,0,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.49448878,0.5532164
5,5,0,0,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.45291975,0.54824126
6,6,0,25,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.4598375,0.51755667
7,7,0,25,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.64705884,0.36666667,0.4635031,0.49456662
8,8,0,25,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.49114424,0.5425418
9,9,0,25,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5217391,0.4,0.30814248,0.48075777
10,10,0,25,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6,0.4,0.43272057,0.5125816
11,11,0,25,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.57894737,0.36666667,0.40726745,0.48189697
12,12,0,50,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.42941076,0.5532164
13,13,0,50,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5882353,0.33333334,0.45725507,0.45717096
14,14,0,50,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.64705884,0.36666667,0.48789436,0.49456662
15,15,0,50,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.4,0.28564072,0.5225796
16,16,0,50,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.5105183,0.5532164
17,17,0,50,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6111111,0.36666667,0.47930634,0.4840706
18,18,0,75,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.4,0.41174495,0.5280527
19,19,0,75,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6875,0.36666667,0.50929445,0.50675917
20,20,0,75,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.73333335,0.36666667,0.4775508,0.5211628
21,21,0,75,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.54545456,0.4,0.30095094,0.4826433
22,22,0,75,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.75,0.4,0.5028015,0.5461728
23,23,0,75,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.64705884,0.36666667,0.48207992,0.5008316
24,24,0,100,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.39650112,0.5532164
25,25,0,100,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.47873372,0.5532164
26,26,0,100,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.7647059,0.43333334,0.49333933,0.57965887
27,27,0,100,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.4,0.2764218,0.49073043
28,28,0,100,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5882353,0.33333334,0.44945133,0.45717096
29,29,0,100,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.51229393,0.51755667
30,30,0,125,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.65,0.43333334,0.42924893,0.54824126
31,31,0,125,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.73333335,0.36666667,0.4677322,0.5211628
