,seed,fold,upsampler,up_ratio,cw_0,precision,recall,auc,mcc
0,1,0,no_resampling,no_resampling,0.2,0.53571427,0.5,0.47821423,0.52133584
1,1,0,no_resampling,no_resampling,0.3,0.5555556,0.5,0.47306436,0.5328926
2,1,0,no_resampling,no_resampling,0.4,0.6,0.5,0.5325992,0.55109674
3,1,0,no_resampling,no_resampling,0.5,0.5882353,0.33333334,0.41279435,0.45004672
4,1,1,no_resampling,no_resampling,0.2,0.56,0.46666667,0.4410295,0.48309952
5,1,1,no_resampling,no_resampling,0.3,0.6,0.4,0.46555758,0.40220886
6,1,1,no_resampling,no_resampling,0.4,0.6,0.3,0.46606717,0.4104389
7,1,1,no_resampling,no_resampling,0.5,0.6315789,0.4,0.43483594,0.2859331
8,1,2,no_resampling,no_resampling,0.2,0.8095238,0.5483871,0.6711461,0.68627256
9,1,2,no_resampling,no_resampling,0.3,0.75,0.38709676,0.60365534,0.5552354
10,1,2,no_resampling,no_resampling,0.4,0.84210527,0.516129,0.6365353,0.67389
11,1,2,no_resampling,no_resampling,0.5,0.9375,0.48387095,0.61452603,0.6805994
12,1,3,no_resampling,no_resampling,0.2,0.46153846,0.4,0.34691456,0.4289465
13,1,3,no_resampling,no_resampling,0.3,0.5555556,0.33333334,0.36435026,0.4162373
14,1,3,no_resampling,no_resampling,0.4,0.5263158,0.33333334,0.36980224,0.40804705
15,1,3,no_resampling,no_resampling,0.5,0.5882353,0.33333334,0.3019646,0.43138093
16,2,0,no_resampling,no_resampling,0.2,0.71428573,0.33333334,0.44930375,0.50009996
17,2,0,no_resampling,no_resampling,0.3,0.7222222,0.43333334,0.4664337,0.5796788
18,2,0,no_resampling,no_resampling,0.4,0.64705884,0.36666667,0.43124437,0.5123259
19,2,0,no_resampling,no_resampling,0.5,0.6363636,0.23333333,0.4286964,0.3878615
20,2,1,no_resampling,no_resampling,0.2,0.58064514,0.6,0.6024708,0.5924804
21,2,1,no_resampling,no_resampling,0.3,0.68,0.56666666,0.62806976,0.62208843
22,2,1,no_resampling,no_resampling,0.4,0.7083333,0.56666666,0.65195847,0.63951397
23,2,1,no_resampling,no_resampling,0.5,0.6363636,0.46666667,0.5746292,0.56380373
24,2,2,no_resampling,no_resampling,0.2,0.7916667,0.61290324,0.5263913,0.7094374
25,2,2,no_resampling,no_resampling,0.3,0.72727275,0.516129,0.5577609,0.6316231
26,2,2,no_resampling,no_resampling,0.4,0.75,0.48387095,0.47767714,0.6119385
27,2,2,no_resampling,no_resampling,0.5,0.78571427,0.3548387,0.49566346,0.54269004
28,2,3,no_resampling,no_resampling,0.2,0.7,0.46666667,0.6270423,0.6033986
29,2,3,no_resampling,no_resampling,0.3,0.6086956,0.46666667,0.63216543,0.5645343
30,2,3,no_resampling,no_resampling,0.4,0.6666667,0.46666667,0.6776584,0.57272255
31,2,3,no_resampling,no_resampling,0.5,0.71428573,0.33333334,0.6172542,0.504936
32,3,0,no_resampling,no_resampling,0.2,0.5416667,0.43333334,0.45756304,0.485959
33,3,0,no_resampling,no_resampling,0.3,0.45454547,0.33333334,0.38395774,0.39467925
34,3,0,no_resampling,no_resampling,0.4,0.61538464,0.26666668,0.42303693,0.41560626
35,3,0,no_resampling,no_resampling,0.5,0.5555556,0.33333334,0.42229444,0.41428924
36,3,1,no_resampling,no_resampling,0.2,0.64285713,0.6,0.58860904,0.64016235
37,3,1,no_resampling,no_resampling,0.3,0.6818182,0.5,0.59838384,0.6232131
38,3,1,no_resampling,no_resampling,0.4,0.75,0.5,0.5933167,0.6427849
39,3,1,no_resampling,no_resampling,0.5,0.6956522,0.53333336,0.561224,0.63438797
40,3,2,no_resampling,no_resampling,0.2,0.68421054,0.41935483,0.48162994,0.54078686
41,3,2,no_resampling,no_resampling,0.3,0.78571427,0.3548387,0.47485775,0.5243785
42,3,2,no_resampling,no_resampling,0.4,0.71428573,0.32258064,0.44897223,0.48601136
43,3,2,no_resampling,no_resampling,0.5,0.75,0.29032257,0.47131935,0.47346604
44,3,3,no_resampling,no_resampling,0.2,0.65384614,0.56666666,0.5480849,0.6334936
45,3,3,no_resampling,no_resampling,0.3,0.68,0.56666666,0.59848773,0.64210975
46,3,3,no_resampling,no_resampling,0.4,0.6956522,0.53333336,0.54221684,0.6283102
47,3,3,no_resampling,no_resampling,0.5,0.6818182,0.5,0.54550934,0.61215365
