,seed,fold,upsampler,up_ratio,cw_0,precision,recall,auc,mcc
0,1,0,no_resampling,no_resampling,0,0.65,0.43333334,0.5852617,0.5413117
1,1,0,no_resampling,no_resampling,0.05,0.45454547,0.5,0.50933594,0.4784938
2,1,0,no_resampling,no_resampling,0.1,0.5151515,0.56666666,0.52186084,0.5413572
3,1,1,no_resampling,no_resampling,0,0.64705884,0.36666667,0.45930728,0.2851055
4,1,1,no_resampling,no_resampling,0.05,0.41666666,0.5,0.41945505,0.3990875
5,1,1,no_resampling,no_resampling,0.1,0.516129,0.53333336,0.39212734,0.51727295
6,1,2,no_resampling,no_resampling,0,0.7647059,0.41935483,0.6515957,0.58519435
7,1,2,no_resampling,no_resampling,0.05,0.77272725,0.5483871,0.65099776,0.67440355
8,1,2,no_resampling,no_resampling,0.1,0.8,0.6451613,0.61070895,0.7406566
9,1,3,no_resampling,no_resampling,0,0.5294118,0.3,0.32082066,0.3754776
10,1,3,no_resampling,no_resampling,0.05,0.45714286,0.53333336,0.3248464,0.5021645
11,1,3,no_resampling,no_resampling,0.1,0.3939394,0.43333334,0.35791242,0.42382115
12,2,0,no_resampling,no_resampling,0,0.53846157,0.23333333,0.40994835,0.33996272
13,2,0,no_resampling,no_resampling,0.05,0.56666666,0.56666666,0.43540138,0.5792948
14,2,0,no_resampling,no_resampling,0.1,0.5652174,0.43333334,0.39924634,0.5140574
15,2,1,no_resampling,no_resampling,0,0.625,0.5,0.5878312,0.564188
16,2,1,no_resampling,no_resampling,0.05,0.37096775,0.76666665,0.5107413,0.54209864
17,2,1,no_resampling,no_resampling,0.1,0.53125,0.56666666,0.5869826,0.55291396
18,2,2,no_resampling,no_resampling,0,0.75,0.48387095,0.50609016,0.62065595
19,2,2,no_resampling,no_resampling,0.05,0.58064514,0.58064514,0.5074201,0.6135521
20,2,2,no_resampling,no_resampling,0.1,0.6923077,0.58064514,0.5217799,0.65032375
21,2,3,no_resampling,no_resampling,0,0.8666667,0.43333334,0.6528113,0.6197001
22,2,3,no_resampling,no_resampling,0.05,0.54285717,0.6333333,0.6108889,0.5908872
23,2,3,no_resampling,no_resampling,0.1,0.6,0.5,0.6373544,0.54872054
24,3,0,no_resampling,no_resampling,0,0.6,0.3,0.453916,0.4180056
25,3,0,no_resampling,no_resampling,0.05,0.38636363,0.56666666,0.41955996,0.49582934
26,3,0,no_resampling,no_resampling,0.1,0.4827586,0.46666667,0.47700924,0.47010273
27,3,1,no_resampling,no_resampling,0,0.7,0.46666667,0.5160098,0.5922966
28,3,1,no_resampling,no_resampling,0.05,0.53125,0.56666666,0.6035234,0.5868674
29,3,1,no_resampling,no_resampling,0.1,0.6,0.5,0.56998706,0.5807989
30,3,2,no_resampling,no_resampling,0,0.8333333,0.32258064,0.50789344,0.52743626
31,3,2,no_resampling,no_resampling,0.05,0.5185185,0.4516129,0.4823525,0.48966688
32,3,2,no_resampling,no_resampling,0.1,0.5555556,0.48387095,0.5078529,0.52982503
33,3,3,no_resampling,no_resampling,0,0.65,0.43333334,0.5738864,0.5596669
34,3,3,no_resampling,no_resampling,0.05,0.59375,0.6333333,0.5817821,0.6339641
35,3,3,no_resampling,no_resampling,0.1,0.6363636,0.7,0.5429283,0.6886351
