,seed,fold,upsampler,up_ratio,cw_0,precision,recall,auc,mcc
0,1,0,SVMSMOTE,0.1,0,0.53125,0.56666666,0.52516145,0.5482609
1,1,0,SVMSMOTE,0.1,0.1,0.47368422,0.6,0.54637,0.53462195
2,1,0,SVMSMOTE,0.1,0.2,0.5151515,0.56666666,0.53349495,0.5413572
3,1,0,SVMSMOTE,0.1,0.3,0.51428574,0.6,0.5349073,0.5566429
4,1,0,SVMSMOTE,0.2,0,0.5294118,0.6,0.51225007,0.5662063
5,1,0,SVMSMOTE,0.2,0.1,0.51428574,0.6,0.49114132,0.55423343
6,1,0,SVMSMOTE,0.2,0.2,0.4871795,0.6333333,0.49624777,0.55248404
7,1,0,SVMSMOTE,0.2,0.3,0.4848485,0.53333336,0.5148528,0.5108002
8,1,1,SVMSMOTE,0.1,0,0.5652174,0.43333334,0.47748747,0.5158608
9,1,1,SVMSMOTE,0.1,0.1,0.4473684,0.56666666,0.4455444,0.48707342
10,1,1,SVMSMOTE,0.1,0.2,0.53125,0.56666666,0.4525843,0.55741286
11,1,1,SVMSMOTE,0.1,0.3,0.53846157,0.46666667,0.45423973,0.52091396
12,1,1,SVMSMOTE,0.2,0,0.53846157,0.46666667,0.5034715,0.52091396
13,1,1,SVMSMOTE,0.2,0.1,0.46153846,0.6,0.42593074,0.4883347
14,1,1,SVMSMOTE,0.2,0.2,0.45945945,0.56666666,0.43996105,0.45894885
15,1,1,SVMSMOTE,0.2,0.3,0.4814815,0.43333334,0.41235304,0.4502166
16,1,2,SVMSMOTE,0.1,0,0.8181818,0.58064514,0.6105032,0.7076426
17,1,2,SVMSMOTE,0.1,0.1,0.8148148,0.7096774,0.6663326,0.77830863
18,1,2,SVMSMOTE,0.1,0.2,0.82608694,0.61290324,0.660203,0.7321476
19,1,2,SVMSMOTE,0.1,0.3,0.8333333,0.6451613,0.64110804,0.7523099
20,1,2,SVMSMOTE,0.2,0,0.7826087,0.58064514,0.64772403,0.6989085
21,1,2,SVMSMOTE,0.2,0.1,0.78571427,0.7096774,0.65298295,0.76796484
22,1,2,SVMSMOTE,0.2,0.2,0.7777778,0.67741936,0.6580777,0.74950856
23,1,2,SVMSMOTE,0.2,0.3,0.78571427,0.7096774,0.66731656,0.76796484
24,1,3,SVMSMOTE,0.1,0,0.5217391,0.4,0.2878874,0.46227276
25,1,3,SVMSMOTE,0.1,0.1,0.3783784,0.46666667,0.28764528,0.42392483
26,1,3,SVMSMOTE,0.1,0.2,0.5,0.43333334,0.3210101,0.45783967
27,1,3,SVMSMOTE,0.1,0.3,0.41935483,0.43333334,0.30186477,0.4352887
28,1,3,SVMSMOTE,0.2,0,0.42857143,0.4,0.3075697,0.4285463
29,1,3,SVMSMOTE,0.2,0.1,0.35,0.46666667,0.26223928,0.41437215
30,1,3,SVMSMOTE,0.2,0.2,0.36842105,0.46666667,0.28990585,0.42052603
31,1,3,SVMSMOTE,0.2,0.3,0.41379312,0.4,0.30131495,0.42484033
32,2,0,SVMSMOTE,0.1,0,0.7058824,0.4,0.43648902,0.5579933
33,2,0,SVMSMOTE,0.1,0.1,0.53333336,0.53333336,0.4221894,0.56245166
34,2,0,SVMSMOTE,0.1,0.2,0.5833333,0.46666667,0.43705845,0.5388877
35,2,0,SVMSMOTE,0.1,0.3,0.6818182,0.5,0.41690394,0.60466385
36,2,0,SVMSMOTE,0.2,0,0.61904764,0.43333334,0.4386909,0.54866225
37,2,0,SVMSMOTE,0.2,0.1,0.53125,0.56666666,0.43528202,0.5663317
38,2,0,SVMSMOTE,0.2,0.2,0.625,0.5,0.43590802,0.5869355
39,2,0,SVMSMOTE,0.2,0.3,0.6666667,0.46666667,0.45570529,0.5726102
40,2,1,SVMSMOTE,0.1,0,0.6296296,0.56666666,0.54091346,0.60349417
41,2,1,SVMSMOTE,0.1,0.1,0.44680852,0.7,0.51699257,0.5462087
42,2,1,SVMSMOTE,0.1,0.2,0.5135135,0.6333333,0.4920214,0.5665455
43,2,1,SVMSMOTE,0.1,0.3,0.5277778,0.6333333,0.5276576,0.5728039
44,2,1,SVMSMOTE,0.2,0,0.5294118,0.6,0.4823898,0.56079096
45,2,1,SVMSMOTE,0.2,0.1,0.41666666,0.6666667,0.4923646,0.51728004
46,2,1,SVMSMOTE,0.2,0.2,0.4651163,0.6666667,0.528428,0.55196583
47,2,1,SVMSMOTE,0.2,0.3,0.46153846,0.6,0.49610227,0.52016616
48,2,2,SVMSMOTE,0.1,0,0.73913044,0.5483871,0.5081202,0.65193284
49,2,2,SVMSMOTE,0.1,0.1,0.6333333,0.61290324,0.47274342,0.6586022
50,2,2,SVMSMOTE,0.1,0.2,0.6666667,0.516129,0.52728975,0.613656
51,2,2,SVMSMOTE,0.1,0.3,0.6296296,0.5483871,0.49635294,0.62652546
52,2,2,SVMSMOTE,0.2,0,0.6956522,0.516129,0.49163467,0.6221919
53,2,2,SVMSMOTE,0.2,0.1,0.58064514,0.58064514,0.4586332,0.618485
54,2,2,SVMSMOTE,0.2,0.2,0.65384614,0.5483871,0.4607396,0.62592137
